name,url,duration,success
Unknown attraction,https://www.tripadvisor.com/Attraction_Review-g189852-d243851-Reviews-Vasa_Museum-Stockholm.html,No visit duration data found,False
Rådhuset (Town Hall),https://www.tripadvisor.com/Attraction_Review-g189852-d195439-Reviews-Skansen-Stockholm.html,60–75 minutes,True
